pokers_total,pokers_0,pokers_1,pokers_2,pokers_3,used_total,used_0,used_1,used_2,used_3,used_head,player_one_total,player_one_0,player_one_1,player_one_2,player_one_3,player_two_total,player_two_0,player_two_1,player_two_2,player_two_3,label,number
52.0,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,13.0,12.0,13.0,13.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,13.0,12.0,12.0,13.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,12.0,12.0,12.0,13.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,11.0,12.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0
47.0,11.0,12.0,12.0,12.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0
46.0,10.0,12.0,12.0,12.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0
45.0,10.0,11.0,12.0,12.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0
44.0,10.0,10.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0
43.0,10.0,10.0,11.0,12.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0
42.0,10.0,10.0,11.0,11.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0
41.0,10.0,9.0,11.0,11.0,3.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0
40.0,10.0,9.0,10.0,11.0,4.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0
39.0,10.0,8.0,10.0,11.0,5.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0
38.0,9.0,8.0,10.0,11.0,6.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0
37.0,9.0,7.0,10.0,11.0,7.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0
36.0,9.0,7.0,10.0,10.0,8.0,1.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0
35.0,9.0,6.0,10.0,10.0,9.0,1.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0
34.0,8.0,6.0,10.0,10.0,10.0,2.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0
33.0,8.0,6.0,10.0,9.0,11.0,2.0,4.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0
32.0,7.0,6.0,10.0,9.0,12.0,3.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0
31.0,7.0,5.0,10.0,9.0,13.0,3.0,5.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0
30.0,6.0,5.0,10.0,9.0,14.0,4.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0
29.0,5.0,5.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,8.0,8.0,3.0,4.0,0.0,0.0
28.0,5.0,5.0,9.0,9.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,8.0,8.0,3.0,4.0,0.0,0.0
27.0,4.0,5.0,9.0,9.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,8.0,8.0,3.0,4.0,0.0,0.0
